construct_id,construct_name,prompt_variant,run_number,parse_ok,ssa_ok,cf_ok,all_ok,failure_category,validator_output_summary
01,var_decl,A,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_A_run1.ll | ============================================================ |  | 
01,var_decl,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_A_run2.ll | ============================================================ |  | 
01,var_decl,A,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_A_run3.ll | ============================================================ |  | 
01,var_decl,B,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_B_run1.ll | ============================================================ |  | 
01,var_decl,B,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_B_run2.ll | ============================================================ |  | 
01,var_decl,B,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_B_run3.ll | ============================================================ |  | 
01,var_decl,C,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_C_run1.ll | ============================================================ |  | 
01,var_decl,C,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_C_run2.ll | ============================================================ |  | 
01,var_decl,C,3,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\01_var_decl_C_run3.ll | ============================================================ |  | 
02,expressions,A,1,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_A_run1.ll | ===========================================================
02,expressions,A,2,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_A_run2.ll | ===========================================================
02,expressions,A,3,False,False,False,False,Syntax/Format Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_A_run3.ll | ===========================================================
02,expressions,B,1,True,False,False,False,SSA/Type Error,============================================================ |  Validating: D:\llm-compiler-lowering\phase1\ir_output\02_expressions_B_run1.ll | ===========================================================
